owner;cleaned_github;author_name;author_username;commit_date;family;names;commit_message;manual_categories;oussama_categories;automatic
facebook;https://github.com/facebookresearch/av_hubert;chevalierNoir;chevalierNoir;2022-01-16 03:41:15+00:00;facebook_hubert;Sporadic Disjoint;colab link, non-slurm support, readme;external documentation;external documentation;external documentation
microsoft;https://github.com/microsoft/SafeNLP;Saghar Hosseini;Saghar-Hosseini;2022-07-02 01:01:18+00:00;microsoft_phi-1;Dispersed Alignment;create license;external documentation;external documentation;external documentation
GroNLP;https://github.com/wietsedv/gpt2-recycle;Wietse de Vries;wietsedv;2020-12-09 10:46:42+00:00;GroNLP_gpt;Sparse Alignment;create license;external documentation;external documentation;external documentation
unsloth;https://github.com/unslothai/unsloth;Daniel Han-Chen;danielhanchen;2023-12-01 02:51:05+00:00;unsloth_unsloth-models;Intermittent Alignment;create slim orca 2gpus.png;external documentation;external documentation;external documentation
MBZUAI;https://github.com/mbzuai-nlp/lamini-lm;chiyu;chiyuzhang94;2023-04-25 16:46:16+00:00;MBZUAI_LaMini;Rare Alignment;delete human_eval.png;external documentation;external documentation;external documentation
MBZUAI;https://github.com/mbzuai-nlp/lamini-lm;chiyu;chiyuzhang94;2023-04-26 12:53:35+00:00;MBZUAI_LaMini;Rare Alignment;delete lamini-pipeline.drawio.png;external documentation;external documentation;external documentation
MBZUAI;https://github.com/mbzuai-nlp/lamini-lm;chiyu;chiyuzhang94;2023-04-24 17:55:52+00:00;MBZUAI_LaMini;Rare Alignment;delete untitled diagram.drawio;external documentation;external documentation;external documentation
DTAI-KULeuven;https://github.com/iPieter/RobBERT;Pieter Delobelle;iPieter;2020-01-27 17:53:16+00:00;DTAI-KULeuven_robbert;Sparse Alignment;demo for finetuning on dbrd;external documentation;external documentation;external documentation
SanctumAI;https://github.com/ibm-granite/granite-code-models;Mayank Mishra;mayank31398;2024-05-15 12:52:01+00:00;SanctumAI_granite;Rare Alignment;drop blog;external documentation;external documentation;external documentation
SanctumAI;https://github.com/ibm-granite/granite-code-models;Mayank Mishra;mayank31398;2024-05-06 03:42:43+00:00;SanctumAI_granite;Rare Alignment;drop citation until paper is out;external documentation;external documentation;external documentation
distilbert;https://github.com/huggingface/transformers;thomwolf;thomwolf;2019-02-18 00:28:18+00:00;distilbert_distilbert;Intermittent Alignment;examples testing;external documentation;external documentation;validation infrastructure
SanctumAI;https://github.com/ibm-granite/granite-code-models;Adriana Meza Soria;Unknown;2024-04-29 17:45:53+00:00;SanctumAI_granite;Rare Alignment;figures dir plus granite logo signed-off-by: adriana meza soria;external documentation;external documentation;external documentation
facebook;https://github.com/facebookresearch/esm;Chloe Hsu;Unknown;2022-04-12 14:31:28+00:00;facebook_esm2;Intermittent Alignment;fix colab link;external documentation;external documentation;external documentation
google;https://github.com/google-research/bigbird;hori-ryota;hori-ryota;2021-05-16 07:04:37+00:00;google_bigbird;Sporadic Disjoint;fix link of modeling.py;external documentation;external documentation;external documentation
PrunaAI;https://github.com/PrunaAI/stable-fast;chengzeyi;chengzeyi;2023-11-04 05:58:28+00:00;PrunaAI_MaziyarPanahi;Dispersed Alignment;improve cuda graph note in readme.md;external documentation;external documentation;external documentation
microsoft;https://github.com/microsoft/dstoolkit-phi2-finetune;Microsoft Open Source;microsoftopensource;2024-02-21 12:50:39+00:00;microsoft_phi-2;Sporadic Disjoint;license updated to template;external documentation;external documentation;external documentation
KB;https://github.com/kb-labb/swedish-sbert;Lauler;Lauler;2021-09-07 14:15:49+00:00;KB_bert;Rare Disjoing;link to blog article;external documentation;external documentation;external documentation
Intel;https://github.com/intel/neural-compressor;Zhang, Guoming;guomingz;2021-07-21 03:01:44+00:00;Intel_distilbert;Intermittent Alignment;optimize the op statistic feature by removing additional rows. (#223);external documentation;pipeline_performance;pipeline performance
stabilityai;https://github.com/Stability-AI/model-demo-notebooks;yoshimitsu.imazu;yoshimitsu-imazu;2024-03-26 23:38:48+00:00;stabilityai_japanese-stablelm;Sparse Alignment;reflect latest notebook cleanup & update;external documentation;external documentation;external documentation
DTAI-KULeuven;https://github.com/iPieter/RobBERT;Thomas Winters;Unknown;2020-01-18 19:37:09+00:00;DTAI-KULeuven_robbert;Sparse Alignment;removed unused preprocessor;preprocessing;preprocessing;preprocessing
teknium;https://github.com/teknium1/LLM-Benchmark-Logs;Teknium;teknium1;2023-12-29 00:10:26+00:00;teknium_OpenHermes;Rare Disjoing;rename template to template.md;external documentation;external documentation;external documentation
maidalun1020;https://github.com/mindspore-lab/mindnlp;Ryan Tsang;runtsang;2023-07-26 07:59:42+00:00;maidalun1020_bce-embedding;Frequent Alignment;update api docs (#593) co-authored-by: rainz;external documentation;external documentation;external documentation
elastic;https://github.com/elastic/elasticsearch-labs;Joseph McElroy;joemcelroy;2023-09-04 13:58:03+00:00;elastic_distilbert;Sporadic Disjoint;update developer-guide.md;external documentation;external documentation;external documentation
hfl;https://github.com/ymcui/Chinese-BERT-wwm;ymcui;ymcui;2019-07-04 03:14:48+00:00;hfl_chinese-model;Dispersed Alignment;update faq and desc.;external documentation;external documentation;external documentation
google;https://github.com/google-research/google-research;Hongyi Xu;Hongyi-Xu;2021-08-25 11:30:53+00:00;google_gemma;Frequent Alignment;update imghum paper link to arxiv. piperorigin-revid: 392866340;external documentation;external documentation;external documentation
facebook;https://github.com/facebookresearch/contriever;Gautier Izacard;gizacard;2023-04-07 10:14:08+00:00;facebook_contriever;Rare Disjoing;update lic;external documentation;external documentation;external documentation
microsoft;https://github.com/microsoft/SafeNLP;Saghar Hosseini;Saghar-Hosseini;2022-07-08 18:52:58+00:00;microsoft_phi-1;Dispersed Alignment;update license;external documentation;external documentation;external documentation
01-ai;https://github.com/01-ai/yi;Mia-xia;Mia-xia;2024-06-11 05:11:45+00:00;01-ai_YI;Frequent Alignment;update license description cn version;external documentation;external documentation;external documentation
Efficient-Large-Model;https://github.com/Efficient-Large-Model/VILA;yukang;yukang2017;2024-08-21 02:35:37+00:00;Efficient-Large-Model_VILA;Dispersed Alignment;update longvila.md;external documentation;external documentation;external documentation
hfl;https://github.com/ymcui/Chinese-BERT-wwm;ymcui;ymcui;2021-12-17 02:59:39+00:00;hfl_chinese-model;Dispersed Alignment;update news;external documentation;external documentation;external documentation
hfl;https://github.com/ymcui/Chinese-BERT-wwm;ymcui;ymcui;2022-10-29 01:41:20+00:00;hfl_chinese-model;Dispersed Alignment;update readme;external documentation;external documentation;external documentation
microsoft;https://github.com/microsoft/SafeNLP;Saghar Hosseini;Saghar-Hosseini;2022-07-02 18:12:09+00:00;microsoft_phi-1;Dispersed Alignment;update readme;external documentation;external documentation;external documentation
microsoft;https://github.com/microsoft/SafeNLP;Saghar Hosseini;Saghar-Hosseini;2022-07-02 18:10:43+00:00;microsoft_phi-1;Dispersed Alignment;update readme;external documentation;external documentation;external documentation
tner;https://github.com/asahi417/tner;asahi417;asahi417;2020-09-06 13:56:26+00:00;tner_roberta;Rare Alignment;update readme;external documentation;external documentation;external documentation
microsoft;https://github.com/microsoft/CodeBERT;t-dayaguo;Unknown;2021-02-10 09:17:30+00:00;microsoft_unixcoder;Sparse Alignment;update readme;external documentation;external documentation;external documentation
facebook;https://github.com/facebookresearch/av_hubert;chevalierNoir;bw-shi;2022-01-07 18:18:48+00:00;facebook_hubert;Sporadic Disjoint;update readme;external documentation;external documentation;external documentation
facebook;https://github.com/facebookresearch/esm;Tom Sercu;tomsercu;2023-03-17 13:09:56+00:00;facebook_esm2;Intermittent Alignment;update readme;external documentation;external documentation;external documentation
openbmb;https://github.com/OpenBMB/MiniCPM;zh-zheng;zh-zheng;2024-09-18 16:47:13+00:00;openbmb_MiniCPM;Intermittent Alignment;update readme;external documentation;external documentation;external documentation
openbmb;https://github.com/OpenBMB/MiniCPM;zh-zheng;zh-zheng;2024-09-07 07:53:06+00:00;openbmb_MiniCPM;Intermittent Alignment;update readme;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen;yangapku;yangapku;2024-01-09 11:28:24+00:00;Qwen_Qwen;Dense Partial Alignment;update readme;external documentation;external documentation;external documentation
cardiffnlp;https://github.com/cardiffnlp/tweeteval;Jose Camacho-Collados;pedrada88;2020-11-24 22:14:12+00:00;cardiffnlp_tweeteval;Dispersed Alignment;update readme typo;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen-VL;ShuaiBai623;ShuaiBai623;2023-10-11 03:02:25+00:00;Qwen_Qwen-VL;Frequent Alignment;update readme.md;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen-VL;ShuaiBai623;ShuaiBai623;2023-10-12 02:30:50+00:00;Qwen_Qwen-VL;Frequent Alignment;update readme.md;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen-VL;Junyang Lin;JustinLin610;2023-08-22 17:28:09+00:00;Qwen_Qwen-VL;Frequent Alignment;update readme.md;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen-VL;Shijie;simonJJJ;2023-09-25 11:39:20+00:00;Qwen_Qwen-VL;Frequent Alignment;update readme.md;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen-VL;Jinze Bai;jinze1994;2023-12-25 09:55:42+00:00;Qwen_Qwen-VL;Frequent Alignment;update readme.md;external documentation;external documentation;external documentation
Qwen;https://github.com/QwenLM/Qwen-VL;Shusheng Yang;vealocia;2023-09-04 08:32:53+00:00;Qwen_Qwen-VL;Frequent Alignment;update readme.md;external documentation;external documentation;external documentation
01-ai;https://github.com/01-ai/yi;William Thomas Wilkins;WayTooWill;2023-11-06 05:52:42+00:00;01-ai_YI;Frequent Alignment;update readme.md;external documentation;external documentation;external documentation
vectara;https://github.com/vectara/hallucination-leaderboard;Minseok Bae;mbae26;2024-01-07 05:12:57+00:00;vectara_hallucination;Frequent Alignment;update readme.md;external documentation;external documentation;external documentation
vectara;https://github.com/vectara/hallucination-leaderboard;Simon Hughes;simonhughes22;2023-10-31 21:28:33+00:00;vectara_hallucination;Frequent Alignment;update readme.md;external documentation;external documentation;external documentation
vectara;https://github.com/vectara/hallucination-leaderboard;Simon Hughes;simonhughes22;2023-11-16 06:07:16+00:00;vectara_hallucination;Frequent Alignment;update readme.md;external documentation;external documentation;external documentation
vectara;https://github.com/vectara/hallucination-leaderboard;Simon Hughes;simonhughes22;2023-11-15 18:34:09+00:00;vectara_hallucination;Frequent Alignment;update readme.md;external documentation;external documentation;external documentation
cardiffnlp;https://github.com/cardiffnlp/tweeteval;pedrada88;pedrada88;2020-10-22 04:42:48+00:00;cardiffnlp_tweeteval;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
cardiffnlp;https://github.com/cardiffnlp/tweeteval;Cardiff NLP;cardiffnlp;2020-10-26 09:05:36+00:00;cardiffnlp_tweeteval;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
cardiffnlp;https://github.com/cardiffnlp/tweeteval;Jose Camacho-Collados;pedrada88;2020-11-13 12:04:39+00:00;cardiffnlp_tweeteval;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
cardiffnlp;https://github.com/cardiffnlp/tweeteval;Jose Camacho-Collados;pedrada88;2020-12-17 10:07:45+00:00;cardiffnlp_tweeteval;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
cardiffnlp;https://github.com/cardiffnlp/tweeteval;luisespinosaanke;luisespinosaanke;2020-10-22 05:57:43+00:00;cardiffnlp_tweeteval;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
sileod;https://github.com/sileod/tasknet;sileod;sileod;2022-11-28 13:36:48+00:00;sileod_deberta;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
sileod;https://github.com/sileod/tasknet;sileod;sileod;2022-11-09 10:07:29+00:00;sileod_deberta;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
sileod;https://github.com/sileod/tasknet;sileod;sileod;2023-03-30 19:42:00+00:00;sileod_deberta;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
sileod;https://github.com/sileod/tasknet;sileod;sileod;2022-12-22 15:44:37+00:00;sileod_deberta;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
sileod;https://github.com/sileod/tasknet;sileod;sileod;2023-06-30 11:51:01+00:00;sileod_deberta;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
sileod;https://github.com/sileod/tasknet;sileod;sileod;2022-12-02 14:39:26+00:00;sileod_deberta;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
sileod;https://github.com/sileod/tasknet;sileod;sileod;2022-12-02 21:21:14+00:00;sileod_deberta;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
sileod;https://github.com/sileod/tasknet;sileod;sileod;2022-11-09 10:06:37+00:00;sileod_deberta;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
PrunaAI;https://github.com/PrunaAI/stable-fast;chengzeyi;chengzeyi;2023-10-31 01:29:05+00:00;PrunaAI_MaziyarPanahi;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
Efficient-Large-Model;https://github.com/Efficient-Large-Model/VILA;Yao Lu;yaolug;2024-07-26 17:21:36+00:00;Efficient-Large-Model_VILA;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
Efficient-Large-Model;https://github.com/Efficient-Large-Model/VILA;Song;songhan;2024-05-15 01:09:45+00:00;Efficient-Large-Model_VILA;Dispersed Alignment;update readme.md;external documentation;external documentation;external documentation
Langboat;https://github.com/Langboat/Mengzi3;chunhui;ChunhuiLiu;2024-06-05 09:56:29+00:00;Langboat_Mengzi3;Rare Alignment;update readme.md;external documentation;external documentation;external documentation
Langboat;https://github.com/Langboat/Mengzi3;chunhui;ChunhuiLiu;2024-04-26 08:55:26+00:00;Langboat_Mengzi3;Rare Alignment;update readme.md;external documentation;external documentation;external documentation
Langboat;https://github.com/Langboat/Mengzi3;chunhui;ChunhuiLiu;2024-03-30 09:39:01+00:00;Langboat_Mengzi3;Rare Alignment;update readme.md;external documentation;external documentation;external documentation
tner;https://github.com/asahi417/tner;Asahi Ushio;asahi417;2021-02-14 01:44:04+00:00;tner_roberta;Rare Alignment;update readme.md;external documentation;external documentation;external documentation
wonrax;https://github.com/wonrax/phobert-base-vietnamese-sentiment;Ha Huy Long Hai;wonrax;2022-05-04 07:28:38+00:00;wonrax_phobert;Rare Alignment;update readme.md;external documentation;external documentation;external documentation
mtgv;https://github.com/Meituan-AutoML/MobileVLM;Lxinyang;littleSunlxy;2023-12-29 08:30:49+00:00;mtgv_MobileVLM;Rare Alignment;update readme.md;external documentation;external documentation;external documentation
mtgv;https://github.com/Meituan-AutoML/MobileVLM;Lxinyang;littleSunlxy;2023-12-29 10:22:37+00:00;mtgv_MobileVLM;Rare Alignment;update readme.md;external documentation;external documentation;external documentation
mtgv;https://github.com/Meituan-AutoML/MobileVLM;qiaolm;er-muyue;2024-02-18 03:16:14+00:00;mtgv_MobileVLM;Rare Alignment;update readme.md;external documentation;external documentation;external documentation
MBZUAI;https://github.com/mbzuai-nlp/lamini-lm;chiyu;chiyuzhang94;2023-04-25 12:35:49+00:00;MBZUAI_LaMini;Rare Alignment;update readme.md;external documentation;external documentation;external documentation
MBZUAI;https://github.com/mbzuai-nlp/lamini-lm;chiyu;chiyuzhang94;2023-04-25 12:38:41+00:00;MBZUAI_LaMini;Rare Alignment;update readme.md;external documentation;external documentation;external documentation
MBZUAI;https://github.com/mbzuai-nlp/lamini-lm;chiyu;chiyuzhang94;2023-04-25 14:40:37+00:00;MBZUAI_LaMini;Rare Alignment;update readme.md;external documentation;external documentation;external documentation
MBZUAI;https://github.com/mbzuai-nlp/lamini-lm;chiyu;chiyuzhang94;2023-04-28 05:38:56+00:00;MBZUAI_LaMini;Rare Alignment;update readme.md;external documentation;external documentation;external documentation
MBZUAI;https://github.com/mbzuai-nlp/lamini-lm;Minghao Wu;minghao-wu;2023-05-06 08:56:16+00:00;MBZUAI_LaMini;Rare Alignment;update readme.md;external documentation;external documentation;external documentation
stabilityai;https://github.com/Stability-AI/model-demo-notebooks;Jerry Chi;jerrychidata;2023-11-08 12:29:57+00:00;stabilityai_japanese-stablelm;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
shhossain;https://github.com/shhossain/BanglaTranslationKit;sifat;shhossain;2023-08-27 11:48:09+00:00;shhossain_opus-mt;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
DTAI-KULeuven;https://github.com/iPieter/RobBERT;Thomas Winters;twinters;2021-04-25 11:45:01+00:00;DTAI-KULeuven_robbert;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
jinmang2;https://github.com/jinmang2/kpfbert;MyungHoon Jin;jinmang2;2022-06-17 15:37:10+00:00;jinmang2_kpfbert;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
jinmang2;https://github.com/jinmang2/kpfbert;Korea-Press-Foundation;Korea-Press-Foundation;2021-11-24 01:30:50+00:00;jinmang2_kpfbert;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
jinmang2;https://github.com/jinmang2/kpfbert;MyungHoon Jin;jinmang2;2022-03-31 16:39:04+00:00;jinmang2_kpfbert;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
jinmang2;https://github.com/jinmang2/kpfbert;Korea-Press-Foundation;Korea-Press-Foundation;2021-11-22 07:28:10+00:00;jinmang2_kpfbert;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
jinmang2;https://github.com/jinmang2/kpfbert;MyungHoon Jin;jinmang2;2022-03-31 06:49:33+00:00;jinmang2_kpfbert;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
microsoft;https://github.com/microsoft/UniSpeech;Sanyuan Chen (ÃÂ©ÃÂÃÂÃÂ¤ÃÂ¸ÃÂÃÂ¥ÃÂÃÂ);Sanyuan-Chen;2024-01-30 07:06:29+00:00;microsoft_wavlm;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
microsoft;https://github.com/microsoft/UniSpeech;Chengyi Wang;cywang97;2022-01-04 07:54:27+00:00;microsoft_wavlm;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
GroNLP;https://github.com/wietsedv/gpt2-recycle;Wietse de Vries;wietsedv;2021-08-02 07:08:23+00:00;GroNLP_gpt;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
GroNLP;https://github.com/wietsedv/gpt2-recycle;Wietse de Vries;wietsedv;2020-12-11 07:47:33+00:00;GroNLP_gpt;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
GroNLP;https://github.com/wietsedv/gpt2-recycle;Wietse de Vries;wietsedv;2020-12-11 13:41:30+00:00;GroNLP_gpt;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
mlabonne;https://github.com/mlabonne/llm-autoeval;Maxime Labonne;mlabonne;2024-01-11 21:50:25+00:00;mlabonne_NeuralMonarch;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
microsoft;https://github.com/microsoft/CodeBERT;Daya Guo;guoday;2023-05-26 08:45:09+00:00;microsoft_unixcoder;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
microsoft;https://github.com/microsoft/CodeBERT;guody5;guody5;2020-09-29 05:55:31+00:00;microsoft_unixcoder;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
microsoft;https://github.com/microsoft/CodeBERT;guody5;guody5;2020-07-28 11:40:29+00:00;microsoft_unixcoder;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
microsoft;https://github.com/microsoft/CodeBERT;Surya Prakash Sahu;thepurpleowl;2021-06-16 12:41:46+00:00;microsoft_unixcoder;Sparse Alignment;update readme.md;external documentation;external documentation;external documentation
whaleloops;https://github.com/whaleloops/KEPT;whaleloops;whaleloops;2022-10-12 00:51:30+00:00;whaleloops_phrase-bert;Rare Disjoing;update readme.md;external documentation;external documentation;external documentation
whaleloops;https://github.com/whaleloops/KEPT;whaleloops;whaleloops;2022-06-27 13:48:17+00:00;whaleloops_phrase-bert;Rare Disjoing;update readme.md;external documentation;external documentation;external documentation
whaleloops;https://github.com/whaleloops/KEPT;whaleloops;whaleloops;2022-08-28 03:36:00+00:00;whaleloops_phrase-bert;Rare Disjoing;update readme.md;external documentation;external documentation;external documentation
meta-llama;https://github.com/meta-llama/codellama;Joseph Spisak;jspisak;2023-09-08 13:11:15+00:00;meta-llama_CodeLlama;Rare Disjoing;update readme.md;external documentation;external documentation;external documentation
yahma;https://github.com/facebookresearch/llama;Omar Sanseviero;osanseviero;2024-04-08 14:12:21+00:00;yahma_llama;Rare Disjoing;update readme.md;external documentation;external documentation;external documentation
teknium;https://github.com/teknium1/LLM-Benchmark-Logs;Teknium;teknium1;2023-12-25 22:36:03+00:00;teknium_OpenHermes;Rare Disjoing;update readme.md;external documentation;external documentation;external documentation
nlpaueb;https://github.com/iliaschalkidis/lmtc-eurlex57k;Ilias Chalkidis;Unknown;2019-06-05 07:27:21+00:00;nlpaueb_legal-bert;Sporadic Disjoint;update readme.md;external documentation;external documentation;external documentation
nlpaueb;https://github.com/iliaschalkidis/lmtc-eurlex57k;Ilias Chalkidis;Unknown;2019-06-05 07:32:20+00:00;nlpaueb_legal-bert;Sporadic Disjoint;update readme.md;external documentation;external documentation;external documentation
nlpaueb;https://github.com/iliaschalkidis/lmtc-eurlex57k;Ilias Chalkidis;Unknown;2020-11-25 14:06:25+00:00;nlpaueb_legal-bert;Sporadic Disjoint;update readme.md;external documentation;external documentation;external documentation
nlpaueb;https://github.com/iliaschalkidis/lmtc-eurlex57k;Ilias Chalkidis;Unknown;2019-05-30 17:36:14+00:00;nlpaueb_legal-bert;Sporadic Disjoint;update readme.md;external documentation;external documentation;external documentation
nlpaueb;https://github.com/iliaschalkidis/lmtc-eurlex57k;Ilias Chalkidis;Unknown;2019-06-05 07:28:19+00:00;nlpaueb_legal-bert;Sporadic Disjoint;update readme.md;external documentation;external documentation;external documentation
google;https://github.com/google-research/bigbird;manzilz;manzilz;2022-09-01 03:29:33+00:00;google_bigbird;Sporadic Disjoint;update readme.md;external documentation;external documentation;external documentation
google;https://github.com/google-research/bigbird;manzilz;manzilz;2021-03-25 00:07:37+00:00;google_bigbird;Sporadic Disjoint;update readme.md;external documentation;external documentation;external documentation
google;https://github.com/google-research/bigbird;manzilz;manzilz;2020-12-14 22:51:44+00:00;google_bigbird;Sporadic Disjoint;update readme.md;external documentation;external documentation;external documentation
cointegrated;https://github.com/avidale/avidale;David Dale;avidale;2023-09-07 09:35:38+00:00;cointegrated_rubert;Sporadic Disjoint;update readme.md;external documentation;external documentation;external documentation
cointegrated;https://github.com/avidale/avidale;David Dale;avidale;2022-08-25 23:24:01+00:00;cointegrated_rubert;Sporadic Disjoint;update readme.md;external documentation;external documentation;external documentation
cointegrated;https://github.com/avidale/avidale;David Dale;avidale;2022-03-18 20:06:45+00:00;cointegrated_rubert;Sporadic Disjoint;update readme.md;external documentation;external documentation;external documentation
cointegrated;https://github.com/avidale/avidale;David Dale;avidale;2021-04-29 13:53:55+00:00;cointegrated_rubert;Sporadic Disjoint;update readme.md;external documentation;external documentation;external documentation
cointegrated;https://github.com/avidale/avidale;David Dale;avidale;2021-12-15 12:38:02+00:00;cointegrated_rubert;Sporadic Disjoint;update readme.md;external documentation;external documentation;external documentation
openbmb;https://github.com/OpenBMB/MiniCPM;William;Achazwl;2024-02-01 05:43:48+00:00;openbmb_MiniCPM;Intermittent Alignment;update readme.md;external documentation;external documentation;external documentation
unsloth;https://github.com/unslothai/unsloth;Daniel Han;danielhanchen;2024-10-01 07:40:17+00:00;unsloth_unsloth-models;Intermittent Alignment;update readme.md;external documentation;external documentation;external documentation
unsloth;https://github.com/unslothai/unsloth;Daniel Han;danielhanchen;2023-12-01 02:49:53+00:00;unsloth_unsloth-models;Intermittent Alignment;update readme.md;external documentation;external documentation;external documentation
llm-blender;https://github.com/yuchenlin/LLM-Blender;(Bill) Yuchen Lin;yuchenlin;2023-06-04 05:47:42+00:00;llm-blender_PairRM;Intermittent Alignment;update readme.md;external documentation;external documentation;external documentation
